,objid,xcoord,ycoord,ra,dec,alpha
0,obj-1,262.70666666666665,1330.3733333333334,53.708419660561546,-36.79394273946284,-3.4974954411434513
1,obj-2,217.4748201438849,5061.330935251799,53.71303787251296,-36.172078765419606,-3.3816063615348053
2,obj-3,699.9428571428572,753.6285714285713,53.618046065347464,-36.89047963252979,-1.502149782715927
3,obj-4,803.8,2446.6,53.59464663209301,-36.60840620399491,-4.35042649784669
4,obj-5,817.4444444444445,5595.333333333332,53.5886303360919,-36.083631083208296,-2.975892103242681
5,obj-6,815.7,5600.6,53.5889848371065,-36.08275187108312,-3.5832994238120017
6,obj-7,1725.0878378378382,5259.054054054054,53.401647236090575,-36.140270997266796,-4.076071953966175
7,obj-8,2214.9523809523807,4122.666666666667,53.300992093227435,-36.32986834299521,-3.1511018521632095
8,obj-9,2456.787037037037,543.2129629629628,53.25199529996664,-36.92651371261896,-2.5008342993162667
9,obj-10,2633.516129032258,389.741935483871,53.21518203626688,-36.952128329500866,-5.352066453966282
10,obj-11,2636.0,3715.5,53.213969320125436,-36.39783128154233,-5.056573351941939
11,obj-12,2645.231481481481,5251.990740740741,53.21174952691635,-36.14174884374512,-2.8091369255301926
12,obj-13,2825.952380952381,2430.079365079365,53.17479484421903,-36.61209325625679,-4.710442108000344
13,obj-14,3097.515625,468.328125,53.11841107558246,-36.93906949947173,-3.1811066422174594
14,obj-15,4362.605263157895,2651.3552631578946,52.855857582648746,-36.57494115008164,-3.5280646199904786
15,obj-16,4553.894736842105,3096.543859649122,52.81644764174246,-36.50065009336061,-2.818033192000826
16,obj-17,4406.9807692307695,5028.365384615385,52.84802617297783,-36.178752170133706,-3.058676404737077
17,obj-18,5664.953846153847,784.3978021978023,52.583412787423775,-36.88520377935589,-6.577960232983307
18,obj-19,5893.116630669547,776.4190064794817,52.53585863100161,-36.886313185089634,-6.663529041401868
19,obj-20,6031.0,5258.722222222223,52.51299363060601,-36.13912992546226,-4.314863943903324
