,frequency,flux
0,3308006762.932,2825.322895348072
1,2412004956.341,26384.294891357422
2,2156004440.172,43858.305633068085
3,2796005730.594,9868.293403983116
4,3564007279.101,3657.6926279067993
5,3436007021.016,4878.113654255867
6,2284004698.256,33291.950170993805
7,2028004182.087,66645.19261837006
8,2924005988.678,7638.330829143524
9,3692007537.185,1573.1617943942547
10,3052006246.763,4363.830572664738
11,2668005472.509,13737.843099832535
12,3820007795.269,383.54097148403525
13,3180006504.847,4260.897078812122
14,2540005214.425,20175.56595683098
15,3948008053.354,923.687789440155
